label,delta_vs_windowed,delta_vs_shuffled,pass_deltas,p_value,pass_nulls,tie_rate,pass_orbits
C9_000,0.0,0.0,False,,,,
C9_001,0.0,0.0,False,,,,
C9_002,0.0,0.0,False,,,,
C9_003,0.0,0.0,False,,,,
C9_004,0.0,0.0,False,,,,
C9_005,0.0,0.0,False,,,,
C9_006,0.0,0.0,False,,,,
C9_007,0.0,0.0,False,,,,
C9_008,0.0,0.0,False,,,,
C9_009,0.0,0.0,False,,,,
C9_010,0.0,0.0,False,,,,
C9_011,0.0,0.0,False,,,,
C9_012,0.0,0.0,False,,,,
C9_013,0.0,0.0,False,,,,
C9_014,0.0,0.0,False,,,,
C9_015,0.0,0.0,False,,,,
C9_016,0.0,0.0,False,,,,
C9_017,0.0,0.0,False,,,,
C9_018,0.0,0.0,False,,,,
C9_019,0.0,0.0,False,,,,
C9_020,0.0,0.0,False,,,,
C9_021,0.0,0.0,False,,,,
C9_022,0.0,0.0,False,,,,
C9_023,0.0,0.0,False,,,,
C9_024,0.0,0.0,False,,,,
C9_025,0.0,0.0,False,,,,
C9_026,0.0,0.0,False,,,,
C9_027,0.0,0.0,False,,,,
C9_028,0.0,0.0,False,,,,
C9_029,0.0,0.0,False,,,,
C9_030,0.0,0.0,False,,,,
C9_031,0.0,0.0,False,,,,
C9_032,0.0,0.0,False,,,,
C9_033,0.0,0.0,False,,,,
C9_034,0.0,0.0,False,,,,
C9_035,0.0,0.0,False,,,,
C9_036,0.0,0.0,False,,,,
C9_037,0.0,0.0,False,,,,
C9_038,0.0,0.0,False,,,,
C9_039,0.0,0.0,False,,,,
C9_040,0.0,0.0,False,,,,
C9_041,0.0,0.0,False,,,,
C9_042,0.0,0.0,False,,,,
C9_043,0.0,0.0,False,,,,
C9_044,0.0,0.0,False,,,,
C9_045,0.0,0.0,False,,,,
C9_046,0.0,0.0,False,,,,
C9_047,0.0,0.0,False,,,,
C9_048,0.0,0.0,False,,,,
C9_049,0.0,0.0,False,,,,
C9_050,0.0,0.0,False,,,,
C9_051,0.0,0.0,False,,,,
C9_052,0.0,0.0,False,,,,
C9_053,0.0,0.0,False,,,,
C9_054,0.0,0.0,False,,,,
C9_055,0.0,0.0,False,,,,
C9_056,0.0,0.0,False,,,,
C9_057,0.0,0.0,False,,,,
C9_058,0.0,0.0,False,,,,
C9_059,0.0,0.0,False,,,,
C9_060,0.0,0.0,False,,,,
C9_061,0.0,0.0,False,,,,
C9_062,0.0,0.0,False,,,,
C9_063,0.0,0.0,False,,,,
C9_064,0.0,0.0,False,,,,
C9_065,0.0,0.0,False,,,,
C9_066,0.0,0.0,False,,,,
C9_067,0.0,0.0,False,,,,
C9_068,0.0,0.0,False,,,,
C9_069,0.0,0.0,False,,,,
C9_070,0.0,0.0,False,,,,
C9_071,0.0,0.0,False,,,,
C9_072,0.0,0.0,False,,,,
C9_073,0.0,0.0,False,,,,
C9_074,0.0,0.0,False,,,,
C9_075,0.0,0.0,False,,,,
C9_076,0.0,0.0,False,,,,
C9_077,0.0,0.0,False,,,,
C9_078,0.0,0.0,False,,,,
C9_079,0.0,0.0,False,,,,
C9_080,0.0,0.0,False,,,,
C9_081,0.0,0.0,False,,,,
C9_082,0.0,0.0,False,,,,
C9_083,0.0,0.0,False,,,,
C9_084,0.0,0.0,False,,,,
C9_085,0.0,0.0,False,,,,
C9_086,0.0,0.0,False,,,,
C9_087,0.0,0.0,False,,,,
C9_088,0.0,0.0,False,,,,
C9_089,0.0,0.0,False,,,,
C9_090,0.0,0.0,False,,,,
C9_091,0.0,0.0,False,,,,
C9_092,0.0,0.0,False,,,,
C9_093,0.0,0.0,False,,,,
C9_094,0.0,0.0,False,,,,
C9_095,0.0,0.0,False,,,,
C9_096,0.0,0.0,False,,,,
C9_097,0.0,0.0,False,,,,
C9_098,0.0,0.0,False,,,,
C9_099,0.0,0.0,False,,,,
