index,label,chain_id,stage,mcmc_score,S_orig,z_fixed,z_windowed_r2,z_windowed_r3,z_windowed_r4,z_shuffled,delta_windowed_best,delta_shuffled,anchor_drop,pass_delta_win,pass_delta_shuf,pass_z_fixed,pass_anchor_drop,is_candidate
12,BLINDED_CH00_I013,0,3,2.111,2.111,0.963,0.323,0.851,0.835,0.274,0.639,0.688,-0.721,Y,Y,Y,N,N
8,BLINDED_CH01_S4_BEST,1,4,2.328,2.328,2.687,2.375,2.050,2.718,2.619,0.637,0.068,-0.214,Y,N,Y,Y,N
24,BLINDED_CH00_I001,0,1,1.920,1.920,-0.344,-0.687,-0.939,-0.275,2.023,0.595,-2.367,-0.961,Y,N,N,N,N
1,BLINDED_CH01_S1_BEST,1,1,2.474,2.474,3.256,3.545,3.127,2.736,3.104,0.520,0.153,-0.457,Y,Y,Y,N,N
5,BLINDED_CH00_S2_BEST,0,2,2.413,2.413,2.748,2.523,2.268,2.778,3.167,0.480,-0.419,-0.628,Y,N,Y,N,N
13,BLINDED_CH00_I012,0,3,2.087,2.087,1.786,1.488,1.368,1.424,0.857,0.418,0.929,0.235,Y,Y,Y,Y,Y
11,BLINDED_CH01_I002,1,1,2.270,2.270,2.385,2.046,2.184,2.420,2.385,0.339,-0.000,-0.187,Y,N,Y,Y,N
4,BLINDED_CH01_I003,1,1,2.425,2.425,2.635,2.337,2.825,3.032,3.322,0.298,-0.687,-0.806,Y,N,Y,N,N
6,BLINDED_CH00_I002,0,1,2.376,2.376,2.776,2.492,2.775,2.569,2.836,0.284,-0.060,-0.392,Y,N,Y,N,N
2,BLINDED_CH00_I003,0,1,2.469,2.469,3.710,3.440,3.434,3.727,3.606,0.276,0.103,0.020,Y,Y,Y,Y,Y
7,BLINDED_CH01_S3_BEST,1,3,2.346,2.346,2.715,2.456,2.579,3.113,2.808,0.259,-0.093,-0.287,Y,N,Y,Y,N
15,BLINDED_CH00_I007,0,2,2.026,2.026,1.502,1.270,1.341,1.404,1.130,0.232,0.372,0.297,Y,Y,Y,Y,Y
19,BLINDED_CH01_I015,1,4,1.943,1.943,0.243,0.306,0.042,0.570,0.453,0.201,-0.209,-0.500,Y,N,Y,N,N
0,BLINDED_CH00_S1_BEST,0,1,2.477,2.477,3.633,3.435,3.497,3.652,3.660,0.198,-0.027,-0.097,Y,N,Y,Y,N
20,BLINDED_CH01_I012,1,3,1.939,1.939,0.416,0.234,0.384,0.421,0.014,0.182,0.402,-0.303,Y,Y,Y,N,N
23,BLINDED_CH01_I006,1,2,1.923,1.923,0.684,0.546,0.882,1.027,-0.588,0.138,1.272,0.055,Y,Y,Y,Y,Y
9,BLINDED_CH00_S3_BEST,0,3,2.289,2.289,2.848,2.957,2.714,2.877,3.182,0.133,-0.334,0.166,Y,N,Y,Y,N
16,BLINDED_CH01_I008,1,2,1.995,1.995,0.474,0.358,0.974,1.073,-0.175,0.116,0.648,-0.560,Y,Y,Y,N,N
10,BLINDED_CH00_S4_BEST,0,4,2.271,2.271,2.417,2.534,2.345,2.451,1.463,0.072,0.954,-0.161,Y,Y,Y,Y,Y
21,BLINDED_CH01_I013,1,3,1.930,1.930,0.688,0.814,1.044,0.646,-0.574,0.042,1.262,0.016,N,Y,Y,Y,N
14,BLINDED_CH00_I008,0,2,2.040,2.040,0.673,0.654,0.916,0.918,1.651,0.019,-0.978,-0.614,N,N,Y,N,N
22,BLINDED_CH00_I018,0,4,1.930,1.930,-2.299,-2.255,-1.448,-0.996,-0.112,-0.044,-2.187,-2.968,N,N,N,N,N
3,BLINDED_CH01_S2_BEST,1,2,2.436,2.436,1.852,1.912,2.024,2.388,2.568,-0.059,-0.716,-1.648,N,N,Y,N,N
17,BLINDED_CH00_I016,0,4,1.992,1.992,1.029,1.366,1.110,1.227,0.994,-0.081,0.036,0.009,N,N,Y,Y,N
18,BLINDED_CH01_I011,1,3,1.944,1.944,0.270,0.780,0.647,0.574,0.772,-0.304,-0.502,-0.481,N,N,Y,N,N
