mechanism,timestamp,method,unknowns_before,unknowns_after,reduction,anchors_preserved,new_positions
BerlinClock@1990-11-03T14:00:00+00:00/on_off_count_per_row,1990-11-03T14:00:00+00:00,on_off_count_per_row,50,0,50,True,50
BerlinClock@1990-11-03T14:00:00+00:00/base5_vector,1990-11-03T14:00:00+00:00,base5_vector,50,0,50,True,50
BerlinClock@1990-11-03T14:00:00+00:00/pattern_signature,1990-11-03T14:00:00+00:00,pattern_signature,50,0,50,True,50
BerlinClock@1990-11-03T14:00:00+00:00/row3_triplet_marks,1990-11-03T14:00:00+00:00,row3_triplet_marks,50,0,50,True,50
BerlinClock@1989-11-09T18:53:00+00:00/on_off_count_per_row,1989-11-09T18:53:00+00:00,on_off_count_per_row,50,0,50,True,50
BerlinClock@1989-11-09T18:53:00+00:00/base5_vector,1989-11-09T18:53:00+00:00,base5_vector,50,0,50,True,50
BerlinClock@1989-11-09T18:53:00+00:00/pattern_signature,1989-11-09T18:53:00+00:00,pattern_signature,50,0,50,True,50
BerlinClock@1989-11-09T18:53:00+00:00/row3_triplet_marks,1989-11-09T18:53:00+00:00,row3_triplet_marks,50,0,50,True,50
BerlinClock@2024-01-01T00:00:00+00:00/on_off_count_per_row,2024-01-01T00:00:00+00:00,on_off_count_per_row,50,0,50,True,50
BerlinClock@2024-01-01T00:00:00+00:00/base5_vector,2024-01-01T00:00:00+00:00,base5_vector,50,0,50,True,50
BerlinClock@2024-01-01T00:00:00+00:00/pattern_signature,2024-01-01T00:00:00+00:00,pattern_signature,50,0,50,True,50
BerlinClock@2024-01-01T00:00:00+00:00/row3_triplet_marks,2024-01-01T00:00:00+00:00,row3_triplet_marks,50,0,50,True,50
BerlinClock@2024-01-01T01:00:00+00:00/on_off_count_per_row,2024-01-01T01:00:00+00:00,on_off_count_per_row,50,0,50,True,50
BerlinClock@2024-01-01T01:00:00+00:00/base5_vector,2024-01-01T01:00:00+00:00,base5_vector,50,0,50,True,50
BerlinClock@2024-01-01T01:00:00+00:00/pattern_signature,2024-01-01T01:00:00+00:00,pattern_signature,50,0,50,True,50
BerlinClock@2024-01-01T01:00:00+00:00/row3_triplet_marks,2024-01-01T01:00:00+00:00,row3_triplet_marks,50,0,50,True,50
BerlinClock@2024-01-01T02:00:00+00:00/on_off_count_per_row,2024-01-01T02:00:00+00:00,on_off_count_per_row,50,0,50,True,50
BerlinClock@2024-01-01T02:00:00+00:00/base5_vector,2024-01-01T02:00:00+00:00,base5_vector,50,0,50,True,50
BerlinClock@2024-01-01T02:00:00+00:00/pattern_signature,2024-01-01T02:00:00+00:00,pattern_signature,50,0,50,True,50
BerlinClock@2024-01-01T02:00:00+00:00/row3_triplet_marks,2024-01-01T02:00:00+00:00,row3_triplet_marks,50,0,50,True,50
BerlinClock@2024-01-01T03:00:00+00:00/on_off_count_per_row,2024-01-01T03:00:00+00:00,on_off_count_per_row,50,0,50,True,50
BerlinClock@2024-01-01T03:00:00+00:00/base5_vector,2024-01-01T03:00:00+00:00,base5_vector,50,0,50,True,50
BerlinClock@2024-01-01T03:00:00+00:00/pattern_signature,2024-01-01T03:00:00+00:00,pattern_signature,50,0,50,True,50
BerlinClock@2024-01-01T03:00:00+00:00/row3_triplet_marks,2024-01-01T03:00:00+00:00,row3_triplet_marks,50,0,50,True,50
BerlinClock@2024-01-01T04:00:00+00:00/on_off_count_per_row,2024-01-01T04:00:00+00:00,on_off_count_per_row,50,0,50,True,50
BerlinClock@2024-01-01T04:00:00+00:00/base5_vector,2024-01-01T04:00:00+00:00,base5_vector,50,0,50,True,50
BerlinClock@2024-01-01T04:00:00+00:00/pattern_signature,2024-01-01T04:00:00+00:00,pattern_signature,50,0,50,True,50
BerlinClock@2024-01-01T04:00:00+00:00/row3_triplet_marks,2024-01-01T04:00:00+00:00,row3_triplet_marks,50,0,50,True,50
BerlinClock@2024-01-01T05:00:00+00:00/on_off_count_per_row,2024-01-01T05:00:00+00:00,on_off_count_per_row,50,0,50,True,50
